方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
增液承气汤,泻下剂,玄参：，30g；麦冬：连心，24g；细生地：，24g；大黄：，9g；芒硝：，5g；
增液汤,泻下剂,玄参：，30g；麦冬：连心，24g；细生地：，24g；
小柴胡汤,和解剂,柴胡：，24g；黄岑：，9g；人参：，9g；甘草：炙，9g；半夏：洗，9g；生姜：切，9g；大枣：擘，4枚
柴胡桂枝干姜汤,和解剂,柴胡：，24g；桂枝：去皮，9g；干姜：，6g；栝楼根：，12g；黄岑：，9g；牡蛎：熬，6g；甘草：炙，6g；
柴胡加龙骨牡蛎汤,和解剂,柴胡：，12g；龙骨：，4.5g；牡蛎：熬，4.5g；生姜：切，4.5g；人参：，4.5g；桂枝：去皮，4.5g；茯苓：，4.5g；半夏：洗，9g；黄岑：，3g；铅丹：，1g；大黄：，6g；大枣：擘，2枚；
蒿岑清胆汤,和解剂,青蒿脑：，4.5g；淡竹茹：，9g；仙半夏：，4.5g；赤茯苓：，9g；青子岑：，4.5g；生枳壳：，4.5g；陈广皮：，4.5g；碧玉散：包，4.5g；
截疟七宝饮,和解剂,常山：，6g；陈橘皮：白不去，6g；青橘皮：白不去，6g；槟榔：，6g；草果子仁：，6g；甘草：炙，6g；厚朴：去粗皮，6g；生姜：汁制，6g；
四逆散,和解剂,甘草：炙，6g；枳实：破&水渍&炙干，6g；柴胡：，6g；芍药：，6g；
逍遥散,和解剂,甘草：微炙赤，4.5g；当归：去苗&锉&微炒，9g；茯苓：去皮&白者，9g；芍药：白者，9g；白术：，9g；柴胡：去苗，9g；
加味逍遥散,和解剂,当归：，3g；芍药：，3g；茯苓：，3g；白术：炒，3g；柴胡：，3g；牡丹：皮，1.5g；山栀：炒，1.5g；甘草：炙，1.5g；
黑逍遥散,和解剂,甘草：微炙赤，4.5g；当归：去苗&锉&微炒，9g；茯苓：去皮&白者，9g；芍药：白者，9g；白术：，9g；柴胡：去苗，9g；生地：，6g；
痛泻要方,和解剂,白术：炒，9g；芍药：炒，6g；陈皮：炒，4.5g；防风：，3g；
半夏泻心汤,和解剂,半夏：洗，12g；黄岑：，9g；干姜：，9g；人参：，9g；黄连：，3g；大枣：擘，4枚；甘草：炙，9g；
生姜泻心汤,和解剂,生姜：切，12g；甘草：炙，9g；人参：，9g；干姜：，3g；黄岑：，9g；半夏：洗，9g；黄连：，3g；大枣：擘，4枚；
甘草泻心汤,和解剂,甘草：炙，12g；黄岑：，9g；人参：，9g；干姜：，9g；黄连：，3g；大枣：擘，4枚；半夏：洗，9g；
黄连汤,和解剂,黄连：，9g；甘草：炙，9g；桂枝：去皮，9g；人参：，6g；半夏：洗，9g；大枣：擘，4枚；
