方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
七宝美髯丹,补益剂,赤白何首乌：米泔水浸三四日&瓷片刮去皮&用淘净黑豆二升&以砂锅木甑铺豆及首乌&重重铺盖&蒸之&豆熟取出&去豆曝干&换豆再蒸&如此九次&晒干&为末，500g；赤白茯苓：去皮&研末&以水淘去筋膜及浮者&取沉者捻块&以人乳十碗浸匀&晒干&研末，500g；牛膝：去苗&酒浸一日&同何首乌第七次蒸之&至第九次止&晒干，250g；当归：酒浸&晒，250g；枸杞子：酒浸&晒，250g；菟丝子：酒浸生芽&研烂&晒，250g；补骨脂：以黑脂麻炒香，120g；
炙甘草汤,补益剂,甘草：炙，12g；生姜：切，9g；桂枝：去皮，9g；人参：，6g；生地黄：，20g；阿胶：，6g；麦门冬：去心，10g；麻仁：，10g；大枣：擘，10枚；清酒：，七升；水：，八升；
加减复脉汤,补益剂,炙甘草：，18g；干地黄：，18g；生白芍：，18g；麦冬：不去心，15g；阿胶：，9g；麻仁：，9g；
补天大造丸,补益剂,人参：，100g；黄芪：蜜炙，150g；白术：陈土蒸，150g；当归：酒蒸，75g；枣仁：去壳&炒，75g；远志：去心，75g；甘草：水泡&炒，75g；白芍：酒炒，75g；山药：乳蒸，75g；茯苓：乳蒸，75g；枸杞子：酒蒸，200g；大熟地：酒蒸&晒，200g；河车：甘草水洗，1个；鹿角：熬膏，500g；龟板：与鹿角同熬膏，400g；
牡蛎散,固涩剂,黄芪：去苗&去土，15g；麻黄根：洗，15g；牡蛎：米泔浸&刷去土&火烧通赤，15g；
九仙散,固涩剂,人参：，12g；款冬花：，12g；桑白皮：，12g；桔梗：，12g；五味子：，12g；阿胶：，12g；乌梅：，12g；贝母：，6g；罂粟壳：去顶&蜜炒黄，6g；
真人养脏汤,固涩剂,人参：，6g；当归：去芦，6g；白术：焙，6g；肉豆蔻：面裹&煨，8g；肉桂：去粗皮，6g；甘草：炙，6g；白芍药：，12g；木香：不见火，3g；诃子：去核，9g；罂粟壳：去蒂&去盖&蜜炙，6g；
四神丸,固涩剂,肉豆蔻：，6g；补骨脂：，12g；五味子：，6g；吴茱萸：浸炒，3g；生姜：，八两；红枣：煮熟&取枣肉，一百枚；
桃花汤,固涩剂,赤石脂：一半全用&一半筛末，20g；干姜：，12g；粳米：，15g；
赤石脂禹余粮汤,固涩剂,赤石脂：碎，50g；太乙禹余粮：碎，50g；
金锁固精丸,固涩剂,沙苑蒺藜：炒，12g；芡实：蒸，12g；莲须：，12g；龙骨：酥炙，6g；牡蛎：盐水煮一日一夜&煅粉，6g；
桑螵蛸散,固涩剂,桑螵蛸：，10g；远志：，10g；菖蒲：，10g；龙骨：，10g；人参：，10g；茯神：，10g；当归：，10g；龟甲：酥炙，10g；
缩泉丸,固涩剂,天台乌药：细锉，9g；益智仁：大者&去皮&炒，9g；
固冲汤,固涩剂,白术：炒，30g；生黄芪：，18g；龙骨：煅&捣细，24g；牡丹：煅&捣细，24g；萸肉：去净核，24g；生杭芍：，12g；海螵蛸：捣细，12g；茜草：，9g；棕边炭：，6g；五倍子：轧细&药汁送服，1.5g；
振灵丹,固涩剂,禹余粮：火煅&醋淬不计遍&以手捻得碎为度，；紫石英：，；赤石脂：，；丁头代赭石：火煅&醋淬不计遍&以手捻得碎为度，;
易黄汤,固涩剂,山药：炒，30g；芡实：炒，30g；黄柏：盐水炒，6g；车前子：酒炒，3g；白果：碎，12g；
朱砂安神丸,安神剂,朱砂：另研&水飞为衣，1g；甘草：，15g；黄连：去须净&酒洗，15g；当归：去芦，8g；生地黄：，6g；
磁朱丸,安神剂,磁石：，60g；光明砂：，30g；神曲：，120g；
天王补心丹,安神剂,酸枣仁：，9g；柏子仁：炒，9g；当归身：酒洗，9g；天门冬：去心，9g；麦门冬：去心，9g；生地黄：酒洗，12g；人参：去芦，5g；丹参：微炒，5g；玄参：，5g；白茯苓：去皮，5g；五味子：烘，5g；远志：去心&炒，5g；桔梗：，5g；
柏子养心丸,安神剂,柏子仁：，12g；枸杞子：，9g；麦门冬：，5g；当归：，5g；石菖蒲：，5g；茯神：，5g；玄参：，6g；熟地黄：，6g；甘草：，5g；
孔圣枕中丹,安神剂,龟甲：，3g；龙骨：，3g；远志：，3g；菖蒲：，3g；
酸枣仁汤,安神剂,酸枣仁：，15g；甘草：，3g；知母：，6g；茯苓：，6g；川芎：，6g；
甘麦大枣汤,安神剂,甘草：，9g；小麦：，15g；大枣：，10枚；
养心汤,安神剂,黄芪：炙，15g；白茯苓：，15g；茯神：，15g；半夏，15g；当归：，15g；川芎：，15g；远志：取肉&姜汁淹&焙，8g；肉桂：，8g；柏子：，8g；酸枣仁：浸&去皮&隔纸炒香，8g；北五味子：，5g；人参：，5g；甘草：炙，12g；姜：，五片；大枣：，二枚；
安宫牛黄丸（牛黄丸）,开窍剂,牛黄：，30g；郁金：，30g；犀角（水牛角代）：，30g；黄连：，30g；朱砂：，30g；梅片：，7.5g；麝香：，7.5g；真珠：，15g；山栀：，30g；雄黄：，30g；黄芩：，30g；
牛黄清心丸?,开窍剂,辰砂：，4.5g；黄连：，15g；黄芩：，9g；山栀仁：，9g；郁金：，6g；牛黄：，0.75g；
紫雪,开窍剂,黄金：，3000g；寒水石：，1500g；石膏：，1500g；磁石：，1500g；滑石：，1500g；玄参：，500g；羚羊角：屑，150g；犀角：屑（水牛角浓缩粉代），150g；升麻：，250g；沉香：，150g；青木香：，150g；丁子香：，30g；甘草：炙，240g；
小儿回春丹,开窍剂,川贝母：，40g；陈皮：，40g；木香：，40g；白豆蔻：，40g；枳壳：，40g；法半夏：，40g；沉香：，40g；天竺黄：，40g；僵蚕：，40g；全蝎：，40g；檀香：，40g；牛黄：，12g；麝香：，12g；胆南星：，60g；钩藤：，240g；大黄：，60g；天麻：，40g；甘草：，25g；朱砂：，适量；
至宝丹,开窍剂,生乌犀（水牛角代）：，30g；生玳瑁：，30g；琥珀：，30g；朱砂：，30g；雄黄：，30g；牛黄：，0.3g；龙脑：，0.3g；麝香：，0.3g；安息香：酒浸&重汤煮令化&滤过滓，30g；金箔：，五十片；银箔：，五十片；
抱龙丸,开窍剂,天竺黄：，30g；雄黄：水飞，3g；辰砂：别研，15g；麝香：别研，15g；天南星：腊月酿牛胆中&阴干百日&如无&只将生者去皮脐&锉&炒干用，120g；
苏合香丸（吃力伽丸）,开窍剂,吃力伽（即白术）：，30g；光明砂（即朱砂）：研，30g；麝香：，30g；诃梨勒皮：，30g；香附子：中白，30g；沉香：重者，30g；青木香：，30g；丁子香：，30g；安息香：，30g；白檀香：，30g；荜茇：上者，30g；犀角（水牛角代）：，30g；熏陆香（即乳香）：，15g；苏合香：，15g；龙脑香（即冰片）：，15g；
越鞠丸,理气剂,香附：，6-9g；苍术： ，6-9g；川芎：，6-9g；神曲：，6-9g；
柴胡疏肝散,理气剂,陈皮：醋（6g）炒，6g；川芎：麸炒，4.5g；香附：麸炒，4.5g；芍药：麸炒，4.5g；枳壳：麸炒，4.5g；
金铃子散,理气剂,金铃子： ，9g；延胡索： ，9g；
瓜蒌薤白白酒汤,理气剂,瓜蒌：实捣，24g；薤白： ，12g；白酒： ，适量；
瓜蒌薤白半夏汤,理气剂,瓜蒌：实捣，24g；薤白： ，9g；半夏：，12g；白酒： ，适量；
枳实薤白白桂汤,理气剂,枳实： ，12g；厚朴： ，12g；薤白： ，9g；桂枝： 3g；瓜蒌：， 24g；
半夏厚朴汤,理气剂,半夏： ，12g；厚朴：，9g；茯苓： ，12g；生姜： ，15g；苏叶： ，6g；
枳实消痞丸,理气剂,干生姜： ，6g；炙甘草： ，6g；麦芽曲： ，6g；白茯苓： ，6g；白术： ，6g；半夏草：，9g；人参： ，9g；厚朴：炙，12g；枳实： ，15g；黄连： ，15g；
枳术汤,理气剂,枳实： ，12g；白术： ，6g；
枳术丸,理气剂,白术： ，60g；枳实：麸炒黄色 去穰，30g；
厚朴温中汤,理气剂,厚朴：姜制，15g；橘皮：去白，15g；甘草：炙，8g；草都蔻仁： ，8g；茯苓：去皮，8g；木香： ，8g；干姜： ，2g；
良附丸,理气剂,高良姜：酒洗七次 焙 研，9g；香附子：醋洗七次 焙 研，9g；
天台乌药散,理气剂,乌药，微炒，15g；木香：微炒，15g；茴香：微炒，15g；青橘皮：浸泡 去白 焙，15g；槟榔，锉，9g；楝实： ，15g；巴豆：微炒 敲破 同楝实用麸一升炒 候麸黑色 减去巴豆并麸不用，12g；
橘核丸,理气剂,橘核，炒，30g；海藻：洗，30g；昆布：洗，30g；海带：洗，30g；川楝子，去肉 炒，30g；桃仁：麸炒，30g；厚朴铺：去皮 姜汁炒，15g；木通： ，15g；枳实：麸炒，15g；延胡索：炒 去皮，15g；桂心，不见火，15g；木香，不见火，15g；
加味乌药汤,理气剂,乌药： ，6g；缩砂： ，6g；木香： ，6g；延胡索： ，6g；香附，炒 去毛，9g；甘草： ，9g；
苏子降气汤,理气剂,紫苏子：汤洗七次，9g；半夏：汤洗七次，9g；川当归：，去芦，6g；甘草：爁，6g；前胡：去皮，6g；厚朴：去粗皮 姜汁拌炒，6g；肉桂：去皮，3g；
定喘汤,理气剂,白果：去壳炸碎 炒黄色，9g；黄钱， ，9g；苏子： ，6g；甘草： ，3g；款冬草： ，9g；杏仁：去尖皮，4.5g；桑皮，蜜炙，9g；黄芩：微炒，4.5g；法制半夏：如无 用甘草泡七次 去脐用，9g；
四磨汤,理气剂,人参： ，6g；槟榔： ，9g；天台乌药： ，6g；
旋覆代赭汤,理气剂,旋覆花： ，9g；人参： ，6g；代赭石： ，3g；甘草：炙，9g；半夏：洗，9g；生姜： ，15g；大枣：擘，12枚；
橘皮竹茹汤,理气剂,橘皮： ，12g；竹茹： ，12g；大枣： ，5枚；生姜： ，9g；甘草：，6g；人参： ，3g；
丁香柿蒂汤,理气剂,丁香： ，6g；柿蒂： ，9g；人参： ，3g；生姜： ，6g；
核桃承气汤,理血剂,核桃：去皮尖，12g；大黄：，12g；桂枝：去皮，6g；甘草：炙，6g；芒硝：，6g；
血府逐瘀汤,理血剂,核仁：，12g；红花：，9g；当归：，9g；生地：，9g；川芎：，4.5g；赤芍：，6g；牛膝：9g；桔梗：，4.5g；柴胡：，3g；枳壳：，6g；甘草：，6g；
补阳还五汤,理血剂,黄芪：生，30-120g；归尾：，6g；赤芍：，5g；地龙：去土，3g；川芎：，3g；红花：，3g；桃仁：，3g
复元活血汤,理血剂,柴胡：，15g；栝楼根：，9g；当归：，9g；红花：，6g；甘草：，6g；穿山甲：炮，6g；大黄：酒浸，18g；桃仁：酒浸，去皮尖，研如泥，15g；
抵当汤,理血剂,水蛭：熬，6个；虻虫：去翅足，熬，6g；桃仁：去皮尖，5g；大黄：酒洗，9g；
下瘀血汤,理血剂,大黄：，6g；桃仁：，12g；蛰虫：熬，去足，9g；
通窍活血汤,理血剂,赤芍：，3g；川芎：，3g；桃仁：研泥，9g；红花：，9g；老葱：切碎，6g；鲜姜：切碎，9g；红枣：去核，5g；麝香：绢包，0.15g；黄酒：，250g；
膈下逐瘀汤,理血剂,灵脂：炒，6g；当归：，9g；川芎：，6g；桃仁：研泥，9g；丹皮：，6g；赤芍：，6g；乌药：，6g；延胡索：，3g；甘草：，9g；香附：，4.5g；红花：，9g；枳壳：，4.5g；
少腹逐淤汤,理血剂,小茴香：炒，1.5g；干姜：炒：3g；元胡：，3g；没药：研，6g；当归：，9g；川芎：，6g；官桂：，3g；赤芍：，6g；蒲黄：生，9g；灵脂：炒，6g；
身痛逐淤汤,理血剂,秦艽：，3g；川芎：，6g；桃仁：，9g；红花：，9g；甘草：，3g；羌活：，3g；没药：，6g；当归：，9g；灵脂：炒，6g；香附：，3g；牛膝：，9g；地龙：去土，6g；
七厘散,理血剂,上朱砂：水飞净，3.6g；真麝香：，0.36g；梅花冰片：，0.36g；净乳香：，4.5g；红花：，4.5g；
温经汤（《金匮要略》）,理血剂,吴茱萸：，9g；当归：，6g；芍药：，6g；川芎：，6g；人参：，6g；桂枝：，6g；阿胶：，6g；牡丹皮：去心，6g；生姜：，6g；甘草：，6g；半夏：，6g；麦冬：去心，9g；
温经汤（《妇人大全良方》）,理血剂,当归：，3g；川芎：，3g；桂心：，3g；莪术：醋炒，3g；牡丹皮：，3g；芍药：，3g；人参：，6g；牛膝：，6g；甘草：，6g；
生化汤,理血剂,全当归：，24g；川芎：，9g；桃仁：去皮尖，研6g；干姜：炮黑，2g；甘草：炙，2g；
桂枝茯苓丸,理血剂,桂枝：，6g；茯苓：，6g；丹皮：去心，6g；桃仁：去皮尖，6g；芍药：，6g；
失笑散,理血剂,五灵脂：酒研，淘去沙土，6g；蒲黄：炒香，6g；
丹参饮,理血剂,丹参：，30g；檀香：，6g；砂仁：，6g；
活络效灵丹,理血剂,当归：，15g；丹参：，15g；生明乳香：，15g；生明没药：，15g；
大黄蛰虫丸,理血剂,大黄：蒸，7.5g；黄芩：，6g；甘草：，9g；桃仁：，6g；杏仁：，6g；芍药：，12g；干地黄：，30g；干漆：，3g；虻虫：，6g；水蛭：，6g；蛴螬：，6g；蛰虫：，3g；
鳖甲煎丸,理血剂,鳖甲：炙，90g；乌扇：烧，22.5g；黄苓：，22.5g；鼠妇：熬，22.5g；干姜：，22.5g；大黄：，22.5g；桂枝：，22.5g；石韦：去毛，22.5g；厚朴：，22.5g；紫葳：，22.5g；阿胶：炙，22.5g；柴胡：，45g；蜣螂：熬，45g；芍药：，37g；牡丹皮：去心，37g；蛰虫：熬，37g；蜂巢：炙，30g；赤硝：，90g；桃仁：，15g；瞿麦：，15g；人参：，7.5g；半夏：，7.5g；葶苈：，7.5g；
十灰散,理血剂,大蓟：，9g；小蓟：，9g；荷叶：，9g；侧柏叶：，9g；茅根：，9g；茜根：，9g；山栀：，9g；大黄：，9g；牡丹皮：，9g；棕榈皮：，9g；
咳血方,理血剂,青黛：，6g；瓜萎仁：，9g；海粉：，9g；山栀子：，9g；诃子：，6g；
小蓟饮子,理血剂,生地黄：，9g；小蓟：，9g；滑石：，9g；木通：，9g；蒲黄：，9g；藕节：，9g；淡竹叶：，9g；当归：，9g；山栀子：，9g；甘草：，9g；
槐花散,理血剂,槐花：炒，9g；柏叶：杵，焙，9g；荆芥穗：，9g；枳壳：麸炒，9g；
黄土汤,理血剂,甘草：，9g；干地黄：，9g；白术：，9g；附子：炮，9g；阿胶：，9g；黄芩：，9g；灶心黄土：，30g；
四生丸,理血剂,生荷叶：，9g；生艾叶：，9g；生柏叶：，9g；生地黄：，9g；
川芎茶调散,治风剂,川芎：去梗，12g；荆芥：去梗，12g；白芷：爁，6g；羌活：爁，6g；甘草：爁，6g；细辛：去节，3g；防风：去芦，4.5g；薄荷叶：不见火，12g；
大秦艽汤,治风剂,"秦艽：，9g；川芎：,6g；川独活：，6g；当归：，6g；白芍药：，6g；石膏：，6g；甘草：，6g；川羌活：，3g；防风：，3g；吴白芷：，3g；黄岑：，3g；白术：，3g；白茯苓：，3g；生地黄：，3g；熟地：，3g；细辛：，2g；"
菊花茶调散,治风剂,菊花：，60g；川芎：，60g；荆芥穗：，60g；羌活：，60g；甘草：，60g；白芷：，60g；细辛：洗净，30g；防风：去节，45g；蝉蜕：，15g；僵蝉，15g；薄荷：，15g；上为末：，6g；
小续命汤,治风剂,麻黄：，9g；防己：，9g；人参：，9g；桂心：，9g；黄岑：，9g；芍药：，9g；甘草：，9g；川芎：，9g；杏仁：，9g；防风：，12g；附子：，9g；生姜：，6g；
消风散,治风剂,当归：，6g；生地：，6g；防风：，6g；蝉蜕：，6g；知母：，6g；苦参：，6g；胡麻：，6g；荆芥：，6g；苍术：，6g；牛蒡子：，6g；石膏：，6g；甘草：，3g；木通：，3g；
当归饮子,治风剂,当归：去芦，9g；白芍药：，9g；川芎：，9g；生地黄：洗，9g；白蒺藜：炒 去尖，9g；防风：去芦，9g；荆芥穗：，9g；何首乌：，6g；黄芪：去芦，6g；甘草：炙，3g；上?咀：，12g；
牵正散,治风剂,白附子：，5g；白僵蚕：，5g；全蝎：去毒 并生用 各等分，5g；
小活络丹,治风剂,川乌：炮 去皮 脐，6g；草乌：炮 去皮 脐，6g；地龙：去土，6g；天南星：炮，6g；乳香：研，5g；没药：研，5g；
大活络丹,治风剂,白花蛇：，60g；乌梢蛇：，60g；威灵仙：，60g；两头尖：俱酒浸，60g；草乌：，60g；天麻：煨，60g；全蝎：去毒，60g；首乌：黑豆水浸，60g；龟板：炙，60g；麻黄：，60g；贯众：，60g；炙草：，60g；羌活：，60g；官桂：，60g；藿香：，60g；乌药：，60g；黄连：，60g；熟地：，60g；大黄：蒸，60g；木香：，60g；沉香：，60g；细辛：，30g；赤芍：，30g；没药：去油 另研，30g；丁香：，30g；乳香：去油 另研，30g；僵蚕：，30g；天南星：姜制，30g；青皮：，30g；骨碎：补，30g；白蔻：，30g；安息香：酒蒸，30g；黑附子：制，30g；黄芩：蒸，30g；茯苓：，30g；香附：酒浸 焙，30g；玄参：，30g；白术：，30g；防风：，75g；葛根：，45g；虎胫（豹骨代）：，45g；当归：，45g；血竭：另研，21g；地龙：炙，15g；犀角（水牛角代）：，15g；麝香：另研，15g；松脂：，15g；牛黄：另研，4.5g；片脑（冰片）：另研，4.5g；人参：，90g；
玉真散,治风剂,天南星：，6g；防风：，6g；白芷：，6g；天麻：，6g；羌活：，6g；白附子：，6g；
羚角钩藤汤,治风剂,羚角片：先煎，4.5g；霜桑：，6g；京川贝：去心，12g；鲜生地：，15g；双钩藤：后入，9g；滁菊花：，9g；茯神木：，9g；生白芍：，9g；生甘草：，3g；淡竹茹：鲜刮 与羚角先煎代水，15g；
镇肝熄风汤,治风剂,怀牛膝：，30g；生赭石：轧细，30g；生龙骨：捣碎，15g；生牡蛎：捣碎，15g；生龟板：捣碎，15g；生杭芍：，15g；玄参：，15g；天冬：，15g；川楝子：捣碎，6g；生麦芽：，6g；茵陈：，6g；甘草：，4.5g；
建瓴汤,治风剂,生怀山药：，30g；怀牛膝：，30g；生赭石：轧细，24g；生龙骨：捣碎，18g；生牡蛎：捣碎，18g；生怀地黄：，18g；生杭芍：，12g；柏子仁：，12g；
天麻钩藤饮,治风剂,天麻：，9g；钩藤：后下，12g；石决明：先煎，18g；山栀：，9g；黄芩：，9g；川牛膝：，12g；杜仲：，9g；益母草：，9g；桑寄生：，9g；夜交藤：，9g；朱茯神：，9g；
大定风珠,治风剂,生白芍：，18g；阿胶：，9g；生龟板：，12g；干地黄：，18g；麻仁：，6g；五味子：，6g；生牡蛎：，12g；麦冬：连心，18g；炙甘草：，12g；鸡子黄：生，2个；鳖甲：生，12g；
三甲复脉汤,治风剂,炙甘草：，18g；干地黄：，18g；生白芍：，18g；麦冬：不去心，15g；阿胶：，9g；麻仁：，9g；生牡蛎：，15g；生鳖甲：，24g；生龟板：，30g；
阿胶鸡子黄汤,治风剂,陈阿胶：烊冲，6g；生白芍：，9g；石决明：，15g；双钩藤：，6g；大生地：，12g；清炙草：，2g；生牡蛎：杵，12g；络石藤：，9g；茯神木：，12g；鸡子黄：先煎代水，2个；
天麻钩藤饮,治风剂,天麻：，9g；钩藤：后下，12g；石决明：先煎，18g；山栀：，9g；黄岑：，9g；川牛膝：，12g；杜仲：，9g；益母草：，9g；桑寄生：，9g；夜交藤：，9g；朱茯神：，9g；
大定风珠,治风剂,生白芍：，18g；阿胶：，9g；生龟板：，12g；干地黄：，18g；麻仁：，6g；五味子：，6g；生牡蛎：，12g；麦冬：连心，18g；炙甘草：，12g；鸡子黄：生，2个；鳖甲：生，12g；
三甲复脉汤,治风剂,炙甘草：，18g；干地黄：，18g；生白芍：，18g；麦冬：不去心，15g；阿胶：，9g；麻仁：，9g；生牡蛎：，15g；生鳖甲：，24g；生龟板：，30g；水：，8杯；
阿胶鸡子黄汤,治风剂,陈阿胶：烊冲，6g；生白芍：，9g；石决明：杵，15g；双钩藤：，6g；大生地：，12g；青炙草：，2g；生牡蛎：，杵，12g；络石藤：，9g；茯神木：，12g；鸡子黄：先煎带水，2个；
杏苏散,治燥剂,苏叶：，9g；半夏：，9g；茯苓：，9g；甘草：，3g；前胡：，9g；苦桔梗：，6g；枳壳：，6g；生姜：，3片；橘皮：，6g；大枣：去核，3枚；杏仁：，9g；
桑杏汤,治燥剂,桑叶：，3g；杏仁：，4.5g；沙参：，6g；象贝：，3g；香豉：，3g；栀皮：，3g；梨皮：，3g；
清燥救肺汤,治燥剂,桑叶：经霜者&去枝、梗&净叶，9g；石膏：锻，7.5g；甘草：，3g；人参：，2g；胡麻仁：炒&研，3g；真阿胶：，2.5g；麦门冬：去心，3.5g；杏仁：泡&去皮尖&炒黄，2g；枇杷叶：刷去毛&密涂&炙黄，3g；
麦门冬汤,治燥剂,麦门冬：，42g；半夏：，6g；人参：，9g；甘草：，6g；粳米：，6g；大枣：，12枚；
养阴清肺汤,治燥剂,大生地：，6g；麦门冬：，4g；生甘草：，2g；玄参：，5g；贝母：去心，3g；丹皮：，3g；薄荷：，2g；炒白芍：，3g；
琼玉膏,治燥剂,新罗人参：舂一千下&为末，6g；生地黄：九月采、捣&30g；雪白茯苓：木舂千下&为末，12g；白沙蜜：，20g；
玉液汤,治燥剂,白山药：，30g；生黄芪：，15g；知母：，18g；生鸡内金：捣细，6g；葛根：，5g；五味子：，9g；天花粉：，9g；
平胃散,祛湿剂,苍术：去黑皮&捣为粗末&炒黄色，120g；厚朴：去粗皮&涂生姜汁&炙令香熟，90g；陈橘皮：洗令净&焙干，60g；甘草：炙黄，30g；
不换金正气散,祛湿剂,藿香：，10g；厚朴：，10g；苍术：，10g；陈皮：，10g；半夏：，10g；甘草：，10g；上呋咀：每服12g则水一盏&加生姜三片&煎至六分&去滓热服，12g；
柴平汤,祛湿剂,柴胡、人参、半夏、黄岑、甘草、陈皮、厚朴、苍术：，原著无用量；水：加姜、枣煎服，二盅；
藿香正气散,祛湿剂,大腹皮、白芷、紫苏：，各3g；茯苓：去皮，3g；半夏曲、白术：，各6g；陈皮：去白，6g；厚朴：去粗皮&姜汁炙，6g；苦桔梗：，6g；藿香：去土，9g；甘草：炙，6g；
茵陈蒿汤,祛湿剂,茵陈：，18g；栀子：，12g；大黄：去皮，6g；
栀子柏皮汤,祛湿剂,栀子：，15枚（10g）；甘草：炙，3g；黄柏，6g；水：煮取一升半&去滓&分温再服，四升；
茵陈四逆汤,祛湿剂,甘草：，6g；茵陈：，6g；干姜：，4.5g；附子：破八片，6g；
八正散,祛湿剂,车前子、瞿麦、萹蓄、滑石、山栀子仁、木通：，9g；甘草：炙，9g；大黄：面裹煨&去面&切&焙，9g；
五淋散,祛湿剂,赤茯苓：，15g；当归：去芦，15g；甘草：生用，15g；赤芍药：去芦&锉，15g；山栀仁：，15g；
三仁汤,祛湿剂,杏仁：，15g；飞滑石：，18g；白通草：，6g；白蔻仁：，6g；竹叶：，6g；厚朴：，6g；生薏苡仁：，18g；半夏：，15g；
甘露消毒丹,祛湿剂,飞滑石：，15g；淡黄芩：，10g；绵茵陈：，11g；石菖蒲：，6g；川贝母、木通：，5g；藿香、连翘、白蔻仁、薄荷、射干：，4g；
连朴饮,祛湿剂,制厚朴：，6g；川连：姜汁炒，3g；石菖蒲：，3g；制半夏：，3g；香豉：炒，9g；焦栀：，9g；芦根：，60g；
蚕矢汤,祛湿剂,晚蚕砂：，15g；生苡仁、大豆黄卷：，12g；陈木瓜：，9g；川连：姜汁炒：，9g；制半夏、通草：，3g；黄芩：酒炒，3g；焦栀：，4.5g；陈吴萸：泡淡，1g；
当归拈痛汤,祛湿剂,羌活：，15g；防风：，9g；升麻：，3g；葛根：，6g；白术：，3g；苍术：，9g；当归身：，9g；人参：，6g；甘草：，15g；苦参：酒浸，6g；黄芩：炒，3g；知母：酒洗，9g；茵陈：酒炒，15g；猪苓：，9g；泽泻：，9g；
宣痹汤,祛湿剂,防己：，15g；杏仁：，15g；滑石：，15g；连翘：，9g；山栀：，9g；薏苡：，15g；半夏：醋炒，9g；晚蚕砂：，9g；赤小豆皮：，9g；水：，8杯；
二妙散,祛湿剂,黄柏：，15g；苍术：米泔水浸&炒，15g；
三妙丸,祛湿剂,黄柏：切片&酒拌&略炒，120g；苍术：米泔浸一二宿&细切&焙干，180g；川牛膝：去芦，60g；
四妙丸,祛湿剂,黄柏、苍术、牛膝、薏苡仁：，240g；
五苓散,祛湿剂,猪苓：去皮，9g；泽泻：，15g；白术：，9g；茯苓：，9g；桂枝：，6g；
四苓散,祛湿剂,白术、茯苓、猪苓：，5g；泽泻：，9g；
胃苓汤,祛湿剂,五苓散、平胃散：，3-6g；
茵陈五苓散,祛湿剂,茵陈蒿：末，4g；五苓散：，2g；
猪苓汤,祛湿剂,猪苓：去皮，10g；滑石：，10g；茯苓、泽泻、阿胶：，10g；
防己黄芪汤,祛湿剂,防己：，12g；甘草：炒，6g；白术：，9g；黄芪：去芦，15g；
防己茯苓汤,祛湿剂,防己：，9g；黄芪：，9g；桂枝：，9g；茯苓：，18g；甘草：，6g；
五皮散,祛湿剂,生姜皮、桑白皮、陈橘皮、大腹皮、茯苓皮：，9g；
苓桂术甘汤,祛湿剂,茯苓：，12g；桂枝：，9g；白术：，9g；甘草：炙，6g；
甘草干姜茯苓白术汤,祛湿剂,甘草：，6g；干姜：，12g；茯苓：，12g；白术：，6g；
真武汤,祛湿剂,茯苓：，9g；芍药：，9g；白术：，6g；生姜：切，9g；附子：炮&去皮&破八片，9g；
附子汤,祛湿剂,附子：炮&去皮&破八片，15g；茯苓：，9g；人参：，6g；白术：，12g；芍药：，9g；
实脾散,祛湿剂,厚朴：去皮&姜制&炒，30g；白术、草果仁、大腹子：30g；木瓜：去瓤，30g；木香：不见火，30g；附子：炮&去皮脐，30g；白茯苓：去皮，30g；干姜：炮，30g；甘草：炙，15g；
萆薢分清饮,祛湿剂,益智仁、川萆薢、石菖蒲、乌药：，9g；
萆薢分清饮,祛湿剂,川萆薢：，6g；黄柏：炒褐色，2g；石菖蒲：，2g；茯苓、白术：，3g；莲子心：，2g；丹参、车前子：，4.5g；
完带汤,祛湿剂,白术：土炒，30g；山药：炒，30g；人参：，6g；白芍：酒炒，15g；车前子：酒炒，9g；苍术：制，9g；甘草：，3g；陈皮：，2g；黑芥穗：，2g；柴胡：，2g；
羌活胜湿汤,祛湿剂,羌活、独活：，6g；藁本、防风：，3g；甘草：炙：，3g；蔓荆子：，2g；川芎：，1.5g；
羌活寄生汤,祛湿剂,独活：，9g；桑寄生、杜仲、牛膝、细辛、秦艽、茯苓、肉桂心、防风、川芎、人参、甘草、当归、芍药、干地黄：，6g；
二陈汤,祛痰剂,半夏：汤洗七次，15g；橘红：，15g；白茯苓：，9g；甘草：炙，4.5g；
导痰汤,祛痰剂,半夏：汤洗七次，12g；天南星：细切&姜汁浸，3g；枳实：去瓤，3g；橘红：，3g；赤茯苓：，3g；
涤痰汤,祛痰剂,南星：姜制，7.5g；半夏：汤洗七次，7.5g；枳实：麸炒，6g；茯苓：去皮，6g；橘红：，4.5g；石菖蒲、人参：，3g；竹茹：，2g；甘草：，1.5g；
茯苓丸,祛痰剂,茯苓：，6g；枳壳：麸炒&去瓤，3g；半夏：，12g；风化朴硝：，1g；
温胆汤,祛痰剂,半夏：汤洗七次，6g；竹茹：，6g；枳实：麸炒&去瓤，6g；陈皮：，9g；甘草：炙，3g；茯苓：，4.5g；
十味温胆汤,祛痰剂,半夏：汤洗七次，9g；枳实：，去瓤切&麸炒，9g；陈皮：去白，9g；白茯苓：去皮，4.5g；酸枣仁：微炒，3g；大远志：去心，3g；甘草：水煮，3g；北五味子：，3g；熟地黄：切&酒炒，3g；条参：，3g；粉草：，1.5g；生姜：，5片；大枣：，1枚；
