药名,次数
紫背天葵子,1
牡丹皮,14
枣子,2
川乌,2
大生地,3
紫菀茸,1
石斛,2
青木香,2
生黄芪,2
荆芥,5
荷梗,1
柏子仁,4
椒目,1
竹叶,5
淡竹叶,1
芒硝,11
茯神,5
干葛,3
石决明,4
陈胆星,1
厚朴铺,1
真阿胶,1
真麝香,1
生牡蛎,8
棕榈皮,1
上呋咀,1
海螵蛸,1
碧玉散,1
上锉散,1
草乌,3
水,11
琥珀,1
菊花,3
金银花,3
葱白,2
前胡,5
红花,8
龙眼肉,1
人参,70
芥穗,1
桂,1
蒲黄,3
生葱白,1
野菊花,1
僵蚕,3
生赭石,2
虎胫,1
青子岑,1
川牛膝,4
生明乳香,1
苏合香,1
茯苓皮,1
瓜蒌仁,2
川芎,35
白术,50
莲子心,1
升麻,7
小茴香,3
白通草,1
赤小豆,2
银花,3
补骨脂,2
桑螵蛸,1
青橘皮,2
柿蒂,1
高良姜,1
桑皮,1
川大黄,2
法制半夏,1
白芍药,9
生姜皮,1
黄芪,22
黄芩,18
穿山甲,2
苏薄荷,1
小麦,1
轻粉,1
桑寄生,3
老葱,1
炒黑芥穗,1
乌梢蛇,1
牡蛎,4
夜交藤,2
知母,16
黑芥穗,1
鹿茸,1
龙脑,1
茜根,1
条参,1
白雷丸,1
雄黄,3
生姜,37
大蓟,1
茵陈蒿,1
莱菔子,2
紫苏叶,1
熟干地黄,1
新豉,1
小川连,1
生苡仁,1
陈阿胶,2
黄苓,5
生石膏,1
玉竹,1
鹤虱,1
丹参,6
延胡索,4
紫葳,1
霜桑,1
淡竹茹,2
白扁豆,2
天竺黄,2
益母草,2
炒曲,1
真珠,1
蜣螂,1
玄参,13
白果,2
昆布,1
何首乌,1
枇杷叶,1
姜半夏,2
川羌活,1
陈木瓜,1
白花蛇,1
麦芽,2
赤芍药,2
西瓜翠衣,1
生白芍,8
明天麻,1
真川连,1
湖广术,1
象贝,1
防风,20
当归尾,1
鲜姜,1
生龟板,5
莪术,2
肉桂,12
酸枣仁,5
巴豆,2
银柴胡,1
松子仁,1
沙苑蒺藜,1
猪苓,5
川牛藤,1
紫花地丁,1
橘核,1
蜜炙,1
东白薇,1
陈吴萸,1
茴香,1
山栀子仁,3
寒水石,2
北五味,1
枸杞子,10
全当归,1
蝉蜕,2
僵蝉,1
大腹子,1
葶苈,1
茯神木,3
胆南星,3
天台乌药,2
白附子,2
鸡子黄,4
菟丝子,4
白茯苓,16
芡实,2
墨炭,1
紫瑶桂,1
山药,12
河车,1
郁金,2
海参,1
艾叶,2
紫苏子,1
白沙蜜,1
冰糖,1
片黄芩,1
生怀山药,1
白矾,3
安息香,3
常山,1
萃苈子,1
水蛭,2
生明没药,1
生枳壳,1
白豆蔻,1
甘草,145
白芥子,3
百合,1
薤白,3
松脂,1
青蒿脑,1
羚羊角,1
银箔,1
红枣,3
冬瓜仁,1
秦艽,5
神曲,8
当归身,6
川楝子,3
杏仁,16
龟甲,2
皂角刺,1
芦荟,1
生栀子,1
糯米,1
蛰虫,3
地骨皮,3
柏子,1
乌扇,1
黑丑,1
陈皮,25
芫花,2
生葳蕤,1
旋覆花,1
生荷叶,1
香白芷,1
熟地,8
白头翁,2
肉苁蓉,2
大熟地,1
核仁,1
秦皮,2
黄连,31
川萆薢,2
生玳瑁,1
乳香,5
苦参,2
青皮,4
川当归,3
炒广皮,1
白山药,1
茯苓,54
归身,2
黄柏,17
细辛,16
藁本,1
川贝母,4
附子,21
地黄,1
干姜,31
紫大戟,1
南星,1
茵陈,4
山栀,6
半夏草,1
天冬,1
川连,2
萝卜子,1
生鳖甲,2
藿香叶,2
赤芍,8
煨生姜,1
香豉,2
食盐,1
马勃,1
茅根,1
络石藤,2
天南星,5
桑叶,3
商陆,1
半夏曲,1
苦桔梗,5
炒白术,1
大戟,2
鲜生地,1
青黛,3
姜,2
炙草,2
陈橘皮,3
薄荷叶,3
胡麻,1
楝实,1
防己,4
姜汁,1
白蔻仁,2
胡麻仁,1
赤石脂,3
五灵脂,2
缩砂,1
宫桂,1
生地,5
木通,7
海粉,1
蜀椒,3
缩砂仁,1
铅丹,1
肉豆蔻,4
柏叶,1
新罗人参,1
苍术,15
陈广皮,1
苦楝根,1
益智仁,2
啥茱萸,1
生大黄,1
赤小豆皮,1
百部,1
甘遂,5
猪牙皂角,1
紫石英,1
粳米,8
棕边炭,1
山茱萸,7
龙骨,5
沉香,6
禹余粮,1
炙甘草,10
羚角片,1
贝母,6
苇根,1
木桶,1
黑附块,1
辰砂,4
芦根,1
沙参,2
吴白芷,1
生龙骨,2
枳实,17
鹿角胶,3
钩藤,3
金铃子,1
白蔻,1
白蒺藜,1
当归,52
草果仁,1
真琥珀,1
石韦,1
黄岑,17
地龙,5
薄荷,6
双钩藤,3
人参芦,1
梅片,1
苏子,1
桑白皮,3
鼠妇,1
大黄,34
炒白芍,1
晚蚕砂,2
净乳香,1
白酒,2
黑附子,1
通草,3
干山药,5
黄钱,1
葶苈子,1
制半夏,3
阿胶,14
绵茵陈,1
生姜汁,1
牵牛,1
桂节,1
栝楼根,2
上?咀,1
麝香,9
芍药,35
半夏制,1
朱茯神,2
上为末,1
麦芽曲,1
礞石,1
冰片,2
竹叶心,1
生柏叶,1
木鳖,1
栀皮,1
生怀地黄,1
乌药,6
枸杞,1
牛膝,8
仙半夏,1
北五味子,2
车前子,7
制厚朴,1
巴戟天,1
香附子,3
木瓜,1
天麻,7
白僵蚕,2
小蓟,2
鼠粘子,1
血竭,1
乌梅肉,1
熟地黄,16
瞿麦,2
蒲公英,1
天门冬,1
桔梗,16
赤白茯苓,1
厚朴,21
桃仁,16
生乌犀,1
元参,1
熟附子,2
生鸡内金,1
侧柏叶,1
细生地,5
赤白何首乌,1
川椒,2
干漆,1
大腹皮,3
没药,6
炮姜,1
青炙草,1
射干,2
北沙参,1
山栀子,2
原麦冬,1
山萸肉,5
干地黄,11
丁头代赭石,1
飞滑石,2
全蝎,4
槐花,1
砂仁,4
太乙禹余粮,1
骨碎,1
大麦蘖,1
山楂,3
龙胆草,3
朱砂,5
川独活,1
炙黄芪,1
制附子,2
核桃,1
紫苑,2
梨皮,1
紫苏,1
风化朴硝,1
半夏,40
鳖甲,5
生薏苡仁,1
檀香,2
梅花冰片,1
生甘草梢,1
吴茱萸,5
大怀熟地,1
苏叶,2
滁菊花,1
莲须,1
草果子仁,1
杜仲,5
罂粟壳,2
石菖蒲,8
黄酒,1
蔓荆子,1
羌活,15
鹿角,2
薏苡,1
灵脂,3
归尾,1
小生地,1
蛴螬,1
瓜蒂,1
香薷,2
葛根,9
板蓝根,1
胶饴,2
蜂巢,1
生地黄,16
苇锉,1
灶心黄土,1
麻子仁,1
法半夏,1
丁子香,2
诃梨勒皮,1
荜茇,1
清炙草,2
瓜蒌,4
虻虫,2
萸肉,1
五倍子,1
橘红,6
款冬草,1
牙皂,1
上朱砂,1
尖槟榔,1
滑石,11
荷叶,1
生艾叶,1
龟板胶,1
生甘草,8
大枣,32
橘皮,6
犀角,6
栀子,6
磁石,2
藕节,1
柴胡,21
使君子,1
草都蔻仁,1
首乌,1
赤硝,1
海藻,1
远志,8
藿香,4
白胶香,1
竹茹,3
代赭石,1
枣仁,1
黑牵牛,1
麻仁,6
麻黄,12
木香,19
光明砂,1
海带,1
大远志,1
瓜瓣,1
瓜萎仁,1
麦门冬,9
菖蒲,2
川续断,1
莲子肉,1
泽泻,19
川姜,1
面炒枳壳,1
焦栀,2
山栀仁,3
桂枝,27
麻黄根,1
郁李仁,1
槟榔,9
石莲肉,1
威灵仙,1
真麝香冲,1
丹皮,7
白檀香,1
黄金,1
官桂,4
鲜扁豆花,1
枣,2
朴硝,1
瓜蒌实,1
乌犀角,1
连翘,12
枳壳,12
乌梅,3
丁香,2
五苓散,2
两头尖,1
淡黄芩,1
萹蓄,1
茜草,1
天花粉,2
白芍,5
青蒿,2
京川贝,1
独活,4
平胃散,1
西洋参,1
牛黄,5
生麦门冬,1
淡豆豉,2
薏苡仁,3
赤茯苓,3
胡黄连,2
桂心,4
龟板,4
白芷,7
怀牛膝,2
麦冬,19
牛蒡子,2
香附,6
胡粉,1
贯众,1
大豆黄卷,1
生杭芍,3
款冬花,3
五味子,16
清酒,2
荆芥穗,3
肉桂心,1
花粉,1
粉草,1
雪白茯苓,1
金箔,1
石膏,16
元胡,1
牡丹,2
别直参,1
诃子,2
小枳实,1
生麦芽,1
干生姜,1
